id;title;description;due_date;done
1;out-of-the-box Adaptive users;Quetzal Reactive HTTP;2020-03-29;false
2;Group generate;Planner;2020-03-28;false
3;Seychelles Rupee blue quantifying;invoice Norwegian Krone;2020-03-29;false
4;niches Connecticut;modular;2020-03-28;true
5;Games array;frame Legacy;2020-03-29;true
6;e-commerce Chair;Music deposit;2020-03-29;false
7;payment;Plastic Incredible;2020-03-29;true
8;CSS;benchmark;2020-03-29;false
9;Credit Card Account Kids North Dakota;Generic Cotton;2020-03-28;false
10;SAS;Group Balanced;2020-03-28;false
